成交时间,成交品种,下单方向,开平标志,委托价格,成交价格,成交手数,委托单号,成交单号
2020-11-11 21:22:03.000000,rb2101,SELL,CLOSE,3827.0,3827.0,6,       13993,       16223
2020-11-11 21:22:10.000000,rb2101,BUY,OPEN,3828.0,3828.0,1,       14043,       16253
2020-11-11 21:22:13.000000,rb2101,BUY,OPEN,3828.0,3828.0,1,       14059,       16268
2020-11-11 21:22:14.000000,rb2101,BUY,OPEN,3828.0,3828.0,1,       14073,       16296
2020-11-11 21:22:17.000000,rb2101,SELL,OPEN,3827.0,3827.0,1,       14090,       16327
2020-11-11 21:34:56.000000,i2101,SELL,OPEN,834.5,834.5,1,       16643,       21521
2020-11-11 21:34:56.000000,i2101,SELL,OPEN,834.5,834.5,1,       16646,       21528
2020-11-11 21:54:03.000000,rb2101,BUY,OPEN,3831.0,3831.0,3,       25732,       29553
2020-11-11 21:54:15.000000,rb2101,BUY,OPEN,3830.0,3830.0,3,       25834,       29640
2020-11-11 21:54:24.000000,rb2101,BUY,OPEN,3830.0,3830.0,3,       25874,       29658
2020-11-11 22:02:28.000000,rb2101,BUY,OPEN,3830.0,3830.0,12,       29516,       33253
2020-11-11 22:10:54.000000,rb2101,SELL,CLOSE,3830.0,3830.0,24,       32225,       36832
2020-11-11 22:10:58.000000,rb2101,BUY,CLOSE,3831.0,3831.0,1,       32246,       36851
2020-11-11 22:11:00.000000,rb2101,BUY,OPEN,3831.0,3831.0,24,       32257,       36858
2020-11-11 22:11:03.000000,rb2101,SELL,CLOSE,3830.0,3830.0,24,       32288,       36886
2020-11-11 22:11:06.000000,rb2101,SELL,OPEN,3830.0,3830.0,24,       32306,       36907
2020-11-11 22:11:08.000000,rb2101,BUY,CLOSE,3830.0,3830.0,24,       32327,       36929
2020-11-11 22:23:48.000000,i2101,SELL,OPEN,835.0,835.0,1,       39539,       40978
2020-11-11 22:23:53.000000,i2101,SELL,OPEN,835.0,835.0,1,       39558,       41004
2020-11-11 22:34:08.000000,rb2101,BUY,OPEN,3830.0,3830.0,1,       38067,       45944
2020-11-11 22:34:12.000000,rb2101,SELL,OPEN,3829.0,3829.0,1,       38091,       46018
2020-11-11 22:35:46.000000,rb2101,BUY,OPEN,3830.0,3830.0,1,       38776,       47304
2020-11-11 23:35:18.000000,cu2012,BUY,OPEN,51740.0,51740.0,1,       50139,       63501
2020-11-11 23:35:25.000000,cu2012,BUY,OPEN,51750.0,51750.0,1,       50155,       63534
2020-11-11 23:35:33.000000,cu2012,BUY,OPEN,51750.0,51750.0,1,       50171,       63544
2020-11-11 23:37:19.000000,cu2012,BUY,OPEN,51740.0,51740.0,1,       50369,       63679
2020-11-11 23:37:31.000000,cu2012,BUY,OPEN,51750.0,51750.0,1,       50383,       63697
2020-11-11 23:37:41.000000,cu2012,BUY,OPEN,51740.0,51740.0,1,       50394,       63702
2020-11-11 23:37:42.000000,cu2012,BUY,OPEN,51740.0,51740.0,1,       50396,       63703
2020-11-11 23:37:50.000000,cu2012,BUY,OPEN,51740.0,51740.0,1,       50401,       63708
2020-11-11 23:37:56.000000,cu2012,SELL,CLOSE,51730.0,51730.0,1,       50409,       63711
2020-11-11 23:38:00.000000,cu2012,SELL,CLOSE,51730.0,51730.0,1,       50415,       63715
2020-11-11 23:38:01.000000,cu2012,SELL,CLOSE,51730.0,51730.0,1,       50418,       63717
2020-11-11 23:38:02.000000,cu2012,SELL,CLOSE,51730.0,51730.0,1,       50419,       63718
2020-11-11 23:38:02.000000,cu2012,SELL,CLOSE,51730.0,51730.0,1,       50420,       63719
2020-11-11 23:38:23.000000,cu2012,BUY,OPEN,51750.0,51750.0,1,       50474,       63759
2020-11-11 23:38:26.000000,cu2012,BUY,OPEN,51750.0,51750.0,1,       50480,       63763
2020-11-11 23:38:45.000000,cu2012,BUY,OPEN,51740.0,51740.0,1,       50510,       63780
2020-11-11 23:38:51.000000,cu2012,BUY,OPEN,51740.0,51740.0,1,       50540,       63808
2020-11-11 23:39:15.000000,cu2012,SELL,CLOSE,51720.0,51720.0,4,       50612,       63873
2020-11-11 23:39:19.000000,cu2012,SELL,CLOSE,51720.0,51720.0,3,       50617,       63875
2020-11-11 23:39:24.000000,cu2012,BUY,OPEN,51730.0,51730.0,1,       50626,       63886
2020-11-11 23:39:26.000000,cu2012,BUY,OPEN,51730.0,51730.0,1,       50634,       63896
2020-11-11 23:39:28.000000,cu2012,BUY,OPEN,51730.0,51730.0,1,       50636,       63902
2020-11-11 23:39:34.000000,cu2012,SELL,OPEN,51720.0,51720.0,1,       50643,       63907
2020-11-11 23:39:37.000000,cu2012,SELL,OPEN,51720.0,51720.0,1,       50648,       63913
2020-11-11 23:39:40.000000,cu2012,SELL,OPEN,51720.0,51720.0,1,       50649,       63914
2020-11-11 23:39:41.000000,cu2012,SELL,OPEN,51720.0,51720.0,1,       50652,       63918
2020-11-11 23:39:44.000000,cu2012,BUY,OPEN,51730.0,51730.0,1,       50653,       63919
2020-11-11 23:39:51.000000,cu2012,BUY,OPEN,51730.0,51730.0,1,       50656,       63922
2020-11-11 23:39:51.000000,cu2012,BUY,OPEN,51730.0,51730.0,1,       50657,       63923
2020-11-11 23:39:52.000000,cu2012,BUY,OPEN,51730.0,51730.0,1,       50658,       63924
